dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"D | D | D | D",320,63,      12.817644
2,double,uniform,PoisFFT,"D | D | D | D",320,64,      12.809164
2,double,uniform,PoisFFT,"D | D | D | D",320,65,      12.803855
2,double,uniform,PoisFFT,"D | D | D | D",320,66,      12.812675
2,double,uniform,PoisFFT,"D | D | D | D",320,67,      12.824294
2,double,uniform,PoisFFT,"D | D | D | D",320,68,      12.819094
2,double,uniform,PoisFFT,"D | D | D | D",320,69,      12.820415
2,double,uniform,PoisFFT,"D | D | D | D",320,70,      12.811484
2,double,uniform,PoisFFT,"D | D | D | D",320,71,      12.808524
2,double,uniform,PoisFFT,"D | D | D | D",320,72,      12.812824
2,double,uniform,PoisFFT,"D | D | D | D",320,73,      12.819714
2,double,uniform,PoisFFT,"D | D | D | D",320,74,      12.820275
2,double,uniform,PoisFFT,"D | D | D | D",384,0,       4.462802
2,double,uniform,PoisFFT,"D | D | D | D",384,1,       4.449123
2,double,uniform,PoisFFT,"D | D | D | D",384,2,       4.454152
2,double,uniform,PoisFFT,"D | D | D | D",384,3,       4.453573
2,double,uniform,PoisFFT,"D | D | D | D",384,4,       4.454092
2,double,uniform,PoisFFT,"D | D | D | D",384,5,       4.456533
2,double,uniform,PoisFFT,"D | D | D | D",384,6,       4.459273
2,double,uniform,PoisFFT,"D | D | D | D",384,7,       4.456913
2,double,uniform,PoisFFT,"D | D | D | D",384,8,       4.449113
2,double,uniform,PoisFFT,"D | D | D | D",384,9,       4.460213
2,double,uniform,PoisFFT,"D | D | D | D",384,10,       4.456593
2,double,uniform,PoisFFT,"D | D | D | D",384,11,       4.455422
2,double,uniform,PoisFFT,"D | D | D | D",384,12,       4.445683
2,double,uniform,PoisFFT,"D | D | D | D",384,13,       4.455083
2,double,uniform,PoisFFT,"D | D | D | D",384,14,       4.441242
2,double,uniform,PoisFFT,"D | D | D | D",384,15,       4.446783
2,double,uniform,PoisFFT,"D | D | D | D",384,16,       4.456533
2,double,uniform,PoisFFT,"D | D | D | D",384,17,       4.456552
2,double,uniform,PoisFFT,"D | D | D | D",384,18,       4.451353
2,double,uniform,PoisFFT,"D | D | D | D",384,19,       4.451223
2,double,uniform,PoisFFT,"D | D | D | D",384,20,       4.455073
2,double,uniform,PoisFFT,"D | D | D | D",384,21,       4.451133
2,double,uniform,PoisFFT,"D | D | D | D",384,22,       4.455643
2,double,uniform,PoisFFT,"D | D | D | D",384,23,       4.462412
2,double,uniform,PoisFFT,"D | D | D | D",384,24,       4.457962
2,double,uniform,PoisFFT,"D | D | D | D",384,25,       4.456612
2,double,uniform,PoisFFT,"D | D | D | D",384,26,       4.452993
2,double,uniform,PoisFFT,"D | D | D | D",384,27,       4.455603
2,double,uniform,PoisFFT,"D | D | D | D",384,28,       4.452713
