dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,6,     143.053882
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,7,     147.220368
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,8,     142.904344
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,9,     142.997573
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,10,     143.192741
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,11,     142.934034
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,12,     143.097591
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,13,     142.663456
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,14,     143.246561
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,15,     142.764639
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,16,     143.096345
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,17,     142.885148
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,18,     143.100735
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,19,     142.923927
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,20,     142.770049
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,21,     142.864738
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,22,     142.996686
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,23,     142.940587
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,24,     143.308193
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,25,     142.717819
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,26,     142.832308
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,27,     143.187994
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,28,     143.153784
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,29,     143.189954
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,30,     143.386652
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,31,     143.176094
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,32,     142.851818
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,33,     143.011906
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,34,     142.911318
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,35,     142.963527
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,36,     143.549850
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,37,     143.089775
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,38,     143.018707
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,39,     142.863898
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,40,     154.198857
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,41,     143.357633
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,42,     142.837058
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,43,     143.025816
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,44,     142.984216
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,45,     142.974257
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,46,     143.036386
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,47,     143.185155
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,48,     142.872158
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,49,     143.047136
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,50,     146.559998
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,51,     142.873468
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,52,     143.215344
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,53,     143.284593
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,54,     143.051896
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,55,     143.070255
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,56,     143.045205
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,57,     143.465932
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,58,     142.993697
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,59,     143.199584
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,60,     143.087486
