dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | D",256,26,0.033728,0,0.03561,0.00896,0.118699,0.078298
1,double,uniform,CPU,"N | D",256,27,0.031712,0,0.03482,0.009184,0.115549,0.075716
1,double,uniform,CPU,"N | D",256,28,0.032128,0,0.034269,0.009856,0.114639,0.076253
1,double,uniform,CPU,"N | D",256,29,0.031008,0,0.03497,0.008256,0.113648,0.074234
1,double,uniform,CPU,"N | D",256,30,0.02896,0,0.034679,0.008288,0.111279,0.071927
1,double,uniform,CPU,"N | D",256,31,0.03024,0,0.03511,0.015488,0.119339,0.080838
1,double,uniform,CPU,"N | D",256,32,0.029408,0,0.03531,0.008128,0.111529,0.072846
1,double,uniform,CPU,"N | D",256,33,0.02928,0,0.035109,0.00832,0.112229,0.072709
1,double,uniform,CPU,"N | D",256,34,0.029056,0,0.03122,0.009952,0.102749,0.070228
1,double,uniform,CPU,"N | D",256,35,0.031328,0,0.034821,0.00816,0.113779,0.074309
1,double,uniform,CPU,"N | D",256,36,0.029152,0,0.034679,0.008736,0.112129,0.072567
1,double,uniform,CPU,"N | D",256,37,0.029344,0,0.03579,0.009344,0.113519,0.074478
1,double,uniform,CPU,"N | D",256,38,0.030112,0,0.035669,0.009536,0.114739,0.075317
1,double,uniform,CPU,"N | D",256,39,0.028896,0,0.03462,0.00864,0.111769,0.072156
1,double,uniform,CPU,"N | D",256,40,0.029952,0,0.03534,0.009056,0.114639,0.074348
1,double,uniform,CPU,"N | D",256,41,0.032128,0,0.035159,0.00864,0.115449,0.075927
1,double,uniform,CPU,"N | D",256,42,0.033728,0,0.035479,0.007392,0.117399,0.076599
1,double,uniform,CPU,"N | D",256,43,0.132032,0,0.03505,0.006944,0.214118,0.174026
1,double,uniform,CPU,"N | D",256,44,0.028608,0,0.03486,0.00848,0.111648,0.071948
1,double,uniform,CPU,"N | D",256,45,0.030336,0,0.034799,0.008448,0.112059,0.073583
1,double,uniform,CPU,"N | D",256,46,0.028864,0,0.03129,0.01056,0.102739,0.070714
1,double,uniform,CPU,"N | D",256,47,0.030144,0,0.031499,0.009824,0.102909,0.071467
1,double,uniform,CPU,"N | D",256,48,0.028608,0,0.035219,0.007104,0.109729,0.070931
1,double,uniform,CPU,"N | D",256,49,0.03168,0,0.0351,0.008256,0.11337,0.075036
1,double,uniform,CPU,"N | D",256,50,0.030496,0,0.03583,0.009088,0.115289,0.075414
1,double,uniform,CPU,"N | D",256,51,0.028096,0,0.035029,0.008416,0.110419,0.071541
1,double,uniform,CPU,"N | D",256,52,0.029824,0,0.03541,0.009024,0.115379,0.074258
1,double,uniform,CPU,"N | D",256,53,0.03344,0,0.03518,0.008576,0.116669,0.077196
1,double,uniform,CPU,"N | D",256,54,0.032384,0,0.035019,0.00816,0.113789,0.075563
