dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,36,0.051456,0.00171,0.16301,0.07952,0.359656,0.295696
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,37,0.071904,0.00239,0.169917,0.082912,0.390846,0.327123
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,38,0.063584,0.00188,0.16306,0.081184,0.373556,0.309708
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,39,0.065344,0.0021,0.164418,0.08304,0.378965,0.314902
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,40,0.062048,0.00192,0.16366,0.08064,0.372976,0.308268
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,41,0.054976,0.00166,0.162728,0.079584,0.363656,0.298948
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,42,0.05328,0.00155,0.16049,0.078368,0.357706,0.293688
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,43,0.053568,0.001859,0.158857,0.07888,0.354236,0.293164
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,44,0.060192,0.00182,0.164207,0.079968,0.368565,0.306187
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,45,0.054144,0.00174,0.16157,0.078432,0.440875,0.295886
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,46,0.068736,0.00218,0.165287,0.08384,0.383366,0.320043
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,47,0.07328,0.00214,0.164259,0.090016,0.391925,0.329695
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,48,0.060064,0.001969,0.163187,0.081184,0.371096,0.306404
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,49,0.054048,0.001791,0.157737,0.082208,0.353796,0.295784
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,50,0.058016,0.00177,0.163787,0.08,0.374736,0.303573
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,51,0.052832,0.00161,0.161297,0.077024,0.357486,0.292763
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,52,0.064064,0.00163,0.16479,0.081984,0.377036,0.312468
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,53,0.060416,0.00175,0.164477,0.079872,0.369866,0.306515
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,54,0.071008,0.002079,0.167088,0.084,0.388206,0.324175
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,55,0.060928,0.00214,0.163839,0.07952,0.370136,0.306427
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,56,0.073024,0.00222,0.16677,0.082656,0.389896,0.32467
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,57,0.065312,0.00226,0.1653,0.08112,0.378876,0.313992
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,58,0.060224,0.00178,0.164757,0.080704,0.370915,0.307465
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,59,0.06112,0.00186,0.163957,0.083264,0.374826,0.310201
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,60,0.06864,0.002019,0.166028,0.085088,0.389875,0.321775
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,61,0.053344,0.001701,0.16285,0.081152,0.362656,0.299047
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,62,0.054848,0.0016,0.158909,0.080608,0.359146,0.295965
