dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,6,5.44874,0.002101,1.54121,0.33136,7.39593,7.32341
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,7,5.42218,0.00215,1.54701,0.332608,7.37252,7.30395
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,8,5.43562,0.00219,1.5327,0.332448,7.36855,7.30296
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,9,5.86022,0.00211,1.53507,0.330976,7.80059,7.72838
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,10,5.5432,0.00223,1.53398,0.332992,7.47897,7.41241
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,11,5.46838,0.00207,1.53588,0.331008,7.40922,7.33735
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,12,5.41677,0.0021,1.54527,0.332096,7.36502,7.29624
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,13,5.43782,0.00219,1.53764,0.329408,7.37561,7.30707
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,14,5.44662,0.002271,1.53867,0.332064,7.40648,7.31963
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,15,5.50835,0.0021,1.53496,0.334944,7.44874,7.38036
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,16,5.54413,0.00237,1.53779,0.334112,7.48997,7.4184
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,17,5.58499,0.00231,1.54012,0.331872,7.52815,7.4593
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,18,5.39734,0.001961,1.5398,0.338304,7.34792,7.27741
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,19,5.55571,0.00228,1.53649,0.329504,7.49507,7.42399
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,20,5.37098,0.00219,1.54058,0.332096,7.31396,7.24585
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,21,5.5335,0.00205,1.53683,0.333888,7.47748,7.40627
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,22,5.64954,0.00222,1.53824,0.330976,7.59455,7.52098
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,23,5.47814,0.002039,1.53674,0.333728,7.41742,7.35065
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,24,5.48422,0.0021,1.54749,0.332384,7.43287,7.3662
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,25,5.86266,0.001821,1.53603,0.330848,7.80848,7.73136
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,26,5.60397,0.001901,1.54492,0.329568,7.54966,7.48036
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,27,5.58714,0.00189,1.53261,0.328416,7.51944,7.45005
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,28,5.628,0.001999,1.5341,0.331456,7.55882,7.49556
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,29,5.57789,0.001731,1.53839,0.3344,7.52085,7.45241
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,30,5.54525,0.00198,1.53215,0.331072,7.48169,7.41045
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,31,5.65418,0.00187,1.53929,0.330272,7.59184,7.52561
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,32,5.8168,0.00189,1.54545,0.332608,7.76428,7.69675
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,33,5.65526,0.00204,1.54263,0.330208,7.59664,7.53015
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,34,5.60483,0.00189,1.54161,0.331104,7.54923,7.47944
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,35,5.56387,0.00202,1.53372,0.32864,7.5023,7.42826
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,36,5.43968,0.00206,1.54279,0.331168,7.38566,7.3157
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,37,5.4463,0.002169,1.54691,0.332544,7.39678,7.32793
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,38,5.68358,0.001821,1.54334,0.331296,7.62646,7.56005
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,39,5.58454,0.00208,1.5358,0.33136,7.52326,7.45379
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,40,5.67571,0.00183,1.53292,0.329344,7.60861,7.53981
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,41,5.57734,0.00197,1.53125,0.33232,7.50645,7.44289
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,42,5.56634,0.00205,1.54299,0.330304,7.50755,7.44168
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,43,5.60906,0.00183,1.5344,0.328704,7.5435,7.47399
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,44,5.87555,0.00236,1.53732,0.333984,7.83765,7.74922
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,45,5.98678,0.00221,1.54569,0.334336,7.95913,7.86902
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,46,5.64493,0.00217,1.53645,0.33264,7.58046,7.51619
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,47,5.63869,0.002,1.53214,0.33136,7.56895,7.50419
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,48,5.5001,0.00224,1.53704,0.331776,7.43762,7.37116
