dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,20,0.123776,0.002351,1.12061,0.272064,2.11199,1.5188
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,21,0.114464,0.0022,1.11858,0.268672,2.09183,1.50391
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,22,0.118656,0.002088,1.1187,0.266944,2.0951,1.50639
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,23,0.103072,0.00192,1.1182,0.268384,2.07997,1.49157
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,24,0.109568,0.00209,1.11875,0.265728,2.08752,1.49613
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,25,0.113536,0.002161,1.11754,0.26816,2.09085,1.5014
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,26,0.108704,0.00194,1.11912,0.268256,2.0863,1.49802
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,27,0.110048,0.00224,1.12084,0.2672,2.08599,1.50033
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,28,0.109088,0.002261,1.1186,0.267488,2.08775,1.49744
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,29,0.105024,0.00225,1.11775,0.266816,2.08239,1.49184
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,30,0.108416,0.00215,1.11855,0.269152,2.0879,1.49827
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,31,0.106656,0.00225,1.11714,0.266944,2.08351,1.49299
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,32,0.109728,0.00234,1.11758,0.26784,2.09259,1.49749
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,33,0.109696,0.00232,1.12029,0.271936,2.09152,1.50424
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,34,0.109184,0.00223,1.11534,0.266528,2.08335,1.49328
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,35,0.107072,0.002159,1.11765,0.269216,2.08805,1.4961
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,36,0.107616,0.00224,1.11814,0.265472,2.08173,1.49347
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,37,0.121696,0.00221,1.11901,0.26624,2.09869,1.50915
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,38,0.1096,0.00197,1.11819,0.26752,2.08781,1.49728
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,39,0.106432,0.001949,1.11867,0.266624,2.08364,1.49367
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,40,0.108512,0.00218,1.11828,0.268544,2.08672,1.49751
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,41,0.116416,0.00239,1.11673,0.266848,2.0884,1.50238
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,42,0.107488,0.00198,1.11702,0.268544,2.08556,1.49503
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,43,0.107552,0.002491,1.118,0.268128,2.0909,1.49617
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,44,0.121728,0.00231,1.12063,0.268832,2.10714,1.5135
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,45,0.110656,0.002321,1.11869,0.26592,2.08682,1.49759
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,46,0.123968,0.00225,1.1202,0.270144,2.1085,1.51656
