dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",192,14,5.8024,0,7.04714,0.1896,13.0994,13.0391
3,double,uniform,CPU,"D | D | D | D | D | D",192,15,6.09171,0,7.0497,0.18848,13.4139,13.3299
3,double,uniform,CPU,"D | D | D | D | D | D",192,16,5.86874,0,7.04753,0.18912,13.1697,13.1054
3,double,uniform,CPU,"D | D | D | D | D | D",192,17,5.87843,0,7.05621,0.1888,13.2011,13.1234
3,double,uniform,CPU,"D | D | D | D | D | D",192,18,5.88749,0,7.04702,0.185952,13.1821,13.1205
3,double,uniform,CPU,"D | D | D | D | D | D",192,19,5.95802,0,7.05404,0.186112,13.2612,13.1982
3,double,uniform,CPU,"D | D | D | D | D | D",192,20,5.90134,0,7.04925,0.186784,13.213,13.1374
3,double,uniform,CPU,"D | D | D | D | D | D",192,21,5.63795,0,7.0486,0.18944,12.9438,12.876
3,double,uniform,CPU,"D | D | D | D | D | D",192,22,6.06682,0,7.04795,0.187136,13.3619,13.3019
3,double,uniform,CPU,"D | D | D | D | D | D",192,23,6.00954,0,7.05025,0.188,13.3251,13.2478
3,double,uniform,CPU,"D | D | D | D | D | D",192,24,5.95421,0,7.04785,0.190432,13.2771,13.1925
3,double,uniform,CPU,"D | D | D | D | D | D",192,25,5.91286,0,7.05174,0.185696,13.2114,13.1503
3,double,uniform,CPU,"D | D | D | D | D | D",192,26,6.00304,0,7.04748,0.184992,13.303,13.2355
3,double,uniform,CPU,"D | D | D | D | D | D",192,27,5.92816,0,7.04838,0.184576,13.242,13.1611
3,double,uniform,CPU,"D | D | D | D | D | D",192,28,5.90323,0,7.04806,0.186912,13.1984,13.1382
3,double,uniform,CPU,"D | D | D | D | D | D",192,29,6.00032,0,7.04484,0.186336,13.289,13.2315
3,double,uniform,CPU,"D | D | D | D | D | D",192,30,5.9017,0,7.04795,0.188416,13.2137,13.1381
3,double,uniform,CPU,"D | D | D | D | D | D",192,31,5.92096,0,7.11829,0.186656,13.3005,13.2259
3,double,uniform,CPU,"D | D | D | D | D | D",192,32,5.93411,0,7.06394,0.185664,13.2634,13.1837
3,double,uniform,CPU,"D | D | D | D | D | D",192,33,5.8897,0,7.04761,0.184832,13.1916,13.1221
3,double,uniform,CPU,"D | D | D | D | D | D",192,34,5.84131,0,7.05102,0.186944,13.1576,13.0793
3,double,uniform,CPU,"D | D | D | D | D | D",192,35,5.71315,0,7.04856,0.1856,13.0157,12.9473
3,double,uniform,CPU,"D | D | D | D | D | D",192,36,5.83178,0,7.10662,0.18368,13.1809,13.1221
3,double,uniform,CPU,"D | D | D | D | D | D",192,37,6.05446,0,7.0475,0.185984,13.3495,13.2879
3,double,uniform,CPU,"D | D | D | D | D | D",192,38,5.94109,0,7.0471,0.189088,13.2362,13.1773
3,double,uniform,CPU,"D | D | D | D | D | D",192,39,5.8287,0,7.05047,0.188864,13.146,13.068
3,double,uniform,CPU,"D | D | D | D | D | D",192,40,5.97827,0,7.04811,0.186528,13.2954,13.2129
3,double,uniform,CPU,"D | D | D | D | D | D",192,41,5.67789,0,7.04709,0.184608,12.9676,12.9096
3,double,uniform,CPU,"D | D | D | D | D | D",192,42,5.94333,0,7.05232,0.187456,13.2444,13.1831
3,double,uniform,CPU,"D | D | D | D | D | D",192,43,6.02528,0,7.04969,0.18608,13.339,13.261
3,double,uniform,CPU,"D | D | D | D | D | D",192,44,5.93018,0,7.04807,0.184128,13.2248,13.1624
3,double,uniform,CPU,"D | D | D | D | D | D",192,45,5.95648,0,7.05419,0.186624,13.2624,13.1973
3,double,uniform,CPU,"D | D | D | D | D | D",192,46,6.05984,0,7.04859,0.187808,13.3771,13.2962
3,double,uniform,CPU,"D | D | D | D | D | D",192,47,6.09133,0,7.04901,0.187008,13.4025,13.3273
3,double,uniform,CPU,"D | D | D | D | D | D",192,48,5.98298,0,7.05017,0.1888,13.2934,13.2219
3,double,uniform,CPU,"D | D | D | D | D | D",192,49,5.84291,0,7.04988,0.188576,13.153,13.0814
3,double,uniform,CPU,"D | D | D | D | D | D",192,50,5.96214,0,7.04806,0.184544,13.2729,13.1947
3,double,uniform,CPU,"D | D | D | D | D | D",192,51,5.89526,0,7.04809,0.18208,13.1842,13.1254
3,double,uniform,CPU,"D | D | D | D | D | D",192,52,5.97389,0,7.04695,0.186208,13.2795,13.207
3,double,uniform,CPU,"D | D | D | D | D | D",192,53,5.96522,0,7.06143,0.186144,13.2707,13.2128
3,double,uniform,CPU,"D | D | D | D | D | D",192,54,5.89037,0,7.04566,0.184416,13.1822,13.1204
3,double,uniform,CPU,"D | D | D | D | D | D",192,55,5.91923,0,7.05006,0.186208,13.231,13.1555
3,double,uniform,CPU,"D | D | D | D | D | D",192,56,5.96474,0,7.04782,0.18416,13.2707,13.1967
3,double,uniform,CPU,"D | D | D | D | D | D",192,57,5.9793,0,7.04994,0.187904,13.297,13.2171
3,double,uniform,CPU,"D | D | D | D | D | D",192,58,5.91005,0,7.04698,0.184448,13.2003,13.1415
3,double,uniform,CPU,"D | D | D | D | D | D",192,59,5.91082,0,7.0527,0.185632,13.2087,13.1491
3,double,uniform,CPU,"D | D | D | D | D | D",192,60,5.93664,0,7.05091,0.187008,13.2517,13.1746
3,double,uniform,CPU,"D | D | D | D | D | D",192,61,5.57891,0,7.04638,0.184128,12.8674,12.8094
3,double,uniform,CPU,"D | D | D | D | D | D",192,62,5.98682,0,7.049,0.186272,13.296,13.2221
3,double,uniform,CPU,"D | D | D | D | D | D",192,63,5.9193,0,7.04854,0.184768,13.2231,13.1526
3,double,uniform,CPU,"D | D | D | D | D | D",192,64,6.09453,0,7.04761,0.18816,13.4042,13.3303
3,double,uniform,CPU,"D | D | D | D | D | D",192,65,5.89718,0,7.04825,0.187456,13.2021,13.1329
3,double,uniform,CPU,"D | D | D | D | D | D",192,66,5.55082,0,7.04623,0.187232,12.8443,12.7843
3,double,uniform,CPU,"D | D | D | D | D | D",192,67,5.45331,0,7.04759,0.187712,12.7493,12.6886
3,double,uniform,CPU,"D | D | D | D | D | D",192,68,5.50435,0,7.04379,0.185664,12.7911,12.7338
3,double,uniform,CPU,"D | D | D | D | D | D",192,69,5.88022,0,7.04861,0.186144,13.1897,13.115
3,double,uniform,CPU,"D | D | D | D | D | D",192,70,5.83811,0,7.04634,0.187328,13.1332,13.0718
3,double,uniform,CPU,"D | D | D | D | D | D",192,71,5.55677,0,7.04813,0.185152,12.8539,12.79
3,double,uniform,CPU,"D | D | D | D | D | D",192,72,5.7705,0,7.05033,0.20192,13.1022,13.0227
3,double,uniform,CPU,"D | D | D | D | D | D",192,73,6.06474,0,7.04891,0.187168,13.376,13.3008
3,double,uniform,CPU,"D | D | D | D | D | D",192,74,5.52118,0,7.04655,0.188384,12.8181,12.7561
3,double,uniform,CPU,"D | D | D | D | D | D",256,0,14.1726,0,16.5463,0.42592,31.2274,31.1448
3,double,uniform,CPU,"D | D | D | D | D | D",256,1,13.7253,0,16.5527,0.423296,30.7737,30.7013
3,double,uniform,CPU,"D | D | D | D | D | D",256,2,13.179,0,16.5532,0.424096,30.2272,30.1563
3,double,uniform,CPU,"D | D | D | D | D | D",256,3,13.2316,0,16.5484,0.422336,30.2755,30.2023
3,double,uniform,CPU,"D | D | D | D | D | D",256,4,13.8092,0,16.5487,0.425888,30.8523,30.7838
3,double,uniform,CPU,"D | D | D | D | D | D",256,5,13.0096,0,16.5455,0.42048,30.0455,29.9756
3,double,uniform,CPU,"D | D | D | D | D | D",256,6,13.9611,0,16.5488,0.42432,31.0079,30.9342
3,double,uniform,CPU,"D | D | D | D | D | D",256,7,13.096,0,16.5465,0.422944,30.1388,30.0655
3,double,uniform,CPU,"D | D | D | D | D | D",256,8,13.79,0,16.5488,0.425376,30.8471,30.7642
3,double,uniform,CPU,"D | D | D | D | D | D",256,9,14.2649,0,16.5511,0.423456,31.3237,31.2394
3,double,uniform,CPU,"D | D | D | D | D | D",256,10,13.6224,0,16.5519,0.423712,30.6692,30.598
3,double,uniform,CPU,"D | D | D | D | D | D",256,11,13.6964,0,16.5466,0.423008,30.7371,30.666
3,double,uniform,CPU,"D | D | D | D | D | D",256,12,14.2797,0,16.5472,0.423904,31.3372,31.2508
3,double,uniform,CPU,"D | D | D | D | D | D",256,13,14.0783,0,16.547,0.423968,31.1336,31.0493
3,double,uniform,CPU,"D | D | D | D | D | D",256,14,13.381,0,16.5461,0.42176,30.4278,30.3489
3,double,uniform,CPU,"D | D | D | D | D | D",256,15,13.4953,0,16.554,0.425376,30.5479,30.4746
