dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ds | Ns",256,17,0.030816,0,0.01935,0.006624,0.096239,0.05679
1,float,uniform,CPU,"Ds | Ns",256,18,0.029344,0,0.01886,0.005312,0.091919,0.053516
1,float,uniform,CPU,"Ds | Ns",256,19,0.03008,0,0.01837,0.005344,0.091749,0.053794
1,float,uniform,CPU,"Ds | Ns",256,20,0.027808,0,0.01664,0.009056,0.086369,0.053504
1,float,uniform,CPU,"Ds | Ns",256,21,0.036864,0,0.01836,0.005248,0.100749,0.060472
1,float,uniform,CPU,"Ds | Ns",256,22,0.034208,0,0.018859,0.008192,0.099569,0.061259
1,float,uniform,CPU,"Ds | Ns",256,23,0.140064,0,0.018479,0.005824,0.203258,0.164367
1,float,uniform,CPU,"Ds | Ns",256,24,0.032256,0,0.01922,0.00448,0.095249,0.055956
1,float,uniform,CPU,"Ds | Ns",256,25,0.029664,0,0.01925,0.005152,0.092419,0.054066
1,float,uniform,CPU,"Ds | Ns",256,26,0.030624,0,0.01888,0.005632,0.092609,0.055136
1,float,uniform,CPU,"Ds | Ns",256,27,0.029472,0,0.01878,0.005024,0.091759,0.053276
1,float,uniform,CPU,"Ds | Ns",256,28,0.027264,0,0.0185,0.005376,0.088369,0.05114
1,float,uniform,CPU,"Ds | Ns",256,29,0.027648,0,0.01853,0.005632,0.089739,0.05181
1,float,uniform,CPU,"Ds | Ns",256,30,0.030688,0,0.01855,0.005568,0.092469,0.054806
1,float,uniform,CPU,"Ds | Ns",256,31,0.030912,0,0.0186,0.005536,0.09331,0.055048
1,float,uniform,CPU,"Ds | Ns",256,32,0.028352,0,0.01841,0.005728,0.08915,0.05249
1,float,uniform,CPU,"Ds | Ns",256,33,0.0296,0,0.018959,0.007104,0.096269,0.055663
