dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,9,0.05904,0.00177,0.157887,0.050848,0.324127,0.269545
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,10,0.052832,0.00192,0.149488,0.051168,0.306327,0.255408
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,11,0.066624,0.00181,0.158877,0.056032,0.338076,0.283343
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,12,0.0672,0.00219,0.159668,0.053536,0.337017,0.282594
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,13,0.055776,0.00175,0.15448,0.048672,0.317046,0.260678
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,14,0.072928,0.00187,0.15957,0.051968,0.341876,0.286336
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,15,0.063552,0.00226,0.156999,0.053088,0.331536,0.275899
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,16,0.056224,0.00182,0.157529,0.052192,0.322826,0.267765
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,17,0.0584,0.00182,0.156219,0.05168,0.322686,0.268119
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,18,0.050848,0.00167,0.154698,0.046272,0.309756,0.253488
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,19,0.056,0.00159,0.15508,0.050816,0.318137,0.263486
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,20,0.060192,0.001659,0.15679,0.051456,0.324576,0.270097
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,21,0.050176,0.001561,0.151678,0.046976,0.303656,0.250391
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,22,0.051808,0.00168,0.146038,0.051264,0.300687,0.25079
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,23,0.049312,0.00162,0.151018,0.0456,0.301887,0.24755
