dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | N",256,25,0.031552,0,0.07277,0.006528,0.154178,0.11085
1,double,uniform,CPU,"N | N",256,26,0.029664,0,0.07291,0.00688,0.152539,0.109454
1,double,uniform,CPU,"N | N",256,27,0.030656,0,0.07288,0.008032,0.152088,0.111568
1,double,uniform,CPU,"N | N",256,28,0.032928,0,0.069099,0.009184,0.145459,0.111211
1,double,uniform,CPU,"N | N",256,29,0.029184,0,0.07289,0.008128,0.151688,0.110202
1,double,uniform,CPU,"N | N",256,30,0.029984,0,0.072659,0.007392,0.152039,0.110035
1,double,uniform,CPU,"N | N",256,31,0.02832,0,0.072669,0.008032,0.150039,0.109021
1,double,uniform,CPU,"N | N",256,32,0.032288,0,0.072529,0.008352,0.155048,0.113169
1,double,uniform,CPU,"N | N",256,33,0.030432,0,0.0723,0.008096,0.152619,0.110828
1,double,uniform,CPU,"N | N",256,34,0.031168,0,0.07243,0.007584,0.151898,0.111182
1,double,uniform,CPU,"N | N",256,35,0.030304,0,0.07338,0.006208,0.151458,0.109892
1,double,uniform,CPU,"N | N",256,36,0.029568,0,0.073399,0.006816,0.152798,0.109783
1,double,uniform,CPU,"N | N",256,37,0.028832,0,0.072589,0.008288,0.151219,0.109709
1,double,uniform,CPU,"N | N",256,38,0.057152,0,0.07585,0.013472,0.202238,0.146474
1,double,uniform,CPU,"N | N",256,39,0.0336,0,0.07285,0.007744,0.155238,0.114194
1,double,uniform,CPU,"N | N",256,40,0.028896,0,0.07271,0.00688,0.150978,0.108486
1,double,uniform,CPU,"N | N",256,41,0.031712,0,0.0731,0.0096,0.157138,0.114412
1,double,uniform,CPU,"N | N",256,42,0.029216,0,0.072959,0.008416,0.152429,0.110591
1,double,uniform,CPU,"N | N",256,43,0.031424,0,0.073259,0.009248,0.154009,0.113931
1,double,uniform,CPU,"N | N",256,44,0.0304,0,0.069259,0.010112,0.142509,0.109771
1,double,uniform,CPU,"N | N",256,45,0.030656,0,0.0727,0.007456,0.152919,0.110812
1,double,uniform,CPU,"N | N",256,46,0.028672,0,0.073349,0.007104,0.151379,0.109125
1,double,uniform,CPU,"N | N",256,47,0.031008,0,0.073359,0.007392,0.153698,0.111759
1,double,uniform,CPU,"N | N",256,48,0.02944,0,0.072899,0.008096,0.151988,0.110435
1,double,uniform,CPU,"N | N",256,49,0.02816,0,0.072689,0.008064,0.150808,0.108913
1,double,uniform,CPU,"N | N",256,50,0.030528,0,0.072599,0.007168,0.152249,0.110295
1,double,uniform,CPU,"N | N",256,51,0.032384,0,0.072918,0.008096,0.155499,0.113398
1,double,uniform,CPU,"N | N",256,52,0.03184,0,0.072969,0.008608,0.153469,0.113417
1,double,uniform,CPU,"N | N",256,53,0.031648,0,0.07261,0.006688,0.152739,0.110946
1,double,uniform,CPU,"N | N",256,54,0.02896,0,0.072619,0.007712,0.150828,0.109291
